   ,Packet every 10s,                 ,,         ,                 ,,Packets every 5s ,                 ,,                 ,                 ,,Packets every 1s,                 ,,         ,                 ,,,QoS lvl 1 when packets lvl 0 sent every 5s,         ,          ,,QoS lvl 1 when packets lvl 0 sent every 5s,,,,QoS lvl 1 when packets lvl 0 sent every 1s,,,,,              ,,,,   ,                 ,                     ,                 ,         ,                 ,                    ,                 ,         ,                 ,                    ,         
   ,                ,nt               ,,         ,nt               ,,                 ,nt               ,,                 ,nt               ,,                ,nt               ,,nt       ,nt++             ,,,                                          ,         ,          ,,                                          ,,,,                                          ,,,,,              ,,,,   ,                 ,                     ,                 ,         ,                 ,                    ,                 ,         ,                 ,                    ,         
   ,QoS lvl 0       ,                 ,,QoS lvl 1,                 ,,Qos lvl 0        ,                 ,,QoS lvl 1        ,                 ,,QoS lvl 0       ,                 ,,QoS lvl 1,                 ,,,                                          ,Qos lvl 1,          ,,                                          ,,,,                                          ,,,,,              ,,,,   ,                 ,                     ,                 ,         ,                 ,                    ,                 ,         ,                 ,                    ,         
   ,                ,                 ,,         ,                 ,,                 ,                 ,,                 ,                 ,,                ,                 ,,         ,                 ,,,                                          ,         ,          ,,                                          ,,,,                                          ,,,,,              ,,,,   ,                 ,                     ,                 ,         ,                 ,                    ,                 ,         ,                 ,                    ,         
Moy,0.2507005       ,0.265332701923077,,0.29894  ,0.255247871559633,,0.278784703703704,0.269272689320388,,0.297953010416667,0.290439088235294,,0.279236        ,0.259851435643564,,0.2765492,0.262356873737374,,,moy                                       ,"0       ,292800167",,                                          ,,,,                                          ,,,,,Spec          ,,,,   ,                 ,Packet sent every 10s,                 ,         ,                 ,Packet sent every 5s,                 ,         ,                 ,Packet sent every 1s,         ,
Min,0.226474        ,0.213501         ,,0.22805  ,0.216817         ,,0.221115         ,0.217592         ,,0.219938         ,0.22614          ,,0.220562        ,0.223624         ,,0.234644 ,0.218607         ,,,min                                       ,"0       ,235464"   ,,                                          ,,,,                                          ,,,,,2 cores       ,,,,   ,                 ,QoS lvl 0            ,                 ,QoS lvl 1,                 ,Qos lvl 0           ,                 ,QoS lvl 1,                 ,QoS lvl 0           ,         ,QoS lvl 1
Max,0.50373         ,0.570967         ,,1.070986 ,0.570963         ,,0.516629         ,0.445036         ,,0.8308           ,0.501991         ,,0.422398        ,0.685142         ,,0.517178 ,0.623933         ,,,max                                       ,"0       ,365757"   ,,                                          ,,,,                                          ,,,,,6664 Mo de Ram,,,,   ,                 ,                     ,                 ,         ,                 ,                    ,                 ,         ,                 ,                    ,         ,
   ,                ,                 ,,         ,                 ,,                 ,                 ,,                 ,                 ,,                ,                 ,,         ,                 ,,,                                          ,         ,          ,,                                          ,,,,                                          ,,,,,              ,,,,Avg,0.265332701923077,                     ,0.255247871559633,         ,0.269272689320388,                    ,0.290439088235294,         ,0.259851435643564,                    ,0.2765492
   ,0.248462        ,0.30869          ,,0.330543 ,0.259913         ,,0.233457         ,0.286696         ,,0.405582         ,0.315413         ,,0.32609         ,0.234487         ,,0.262791 ,0.412495         ,,,"0                                        ,299234"  ,          ,,                                          ,,,,                                          ,,,,,              ,,,,   ,Min              ,0.213501             ,                 ,0.216817 ,                 ,0.217592            ,                 ,0.22614  ,                 ,0.223624            ,         ,0.234644
   ,0.244887        ,0.228953         ,,0.268179 ,0.280891         ,,0.291283         ,0.311838         ,,0.490025         ,0.301058         ,,0.313612        ,0.239054         ,,0.24498  ,0.623933         ,,,"0                                        ,244155"  ,          ,,                                          ,,,,                                          ,,,,,              ,,,,   ,Max              ,0.570967             ,                 ,0.570963 ,                 ,0.445036            ,                 ,0.501991 ,                 ,0.685142            ,         ,0.517178
   ,0.231682        ,0.236464         ,,0.268116 ,0.28921          ,,0.318599         ,0.346444         ,,0.480731         ,0.243509         ,,0.335288        ,0.223984         ,,0.276458 ,0.292063         ,,,"0                                        ,365757"  ,          ,,                                          ,,,,                                          ,,,,,              ,,,,   ,                 ,                     ,                 ,         ,                 ,                    ,                 ,         ,                 ,                    ,         ,
